,,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,readability,questions
2015,10,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,1.0
2015,11,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,1.0
2015,12,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,2.0
2016,1,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,2.0
2016,2,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,2.0
2016,3,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,2.0
2016,4,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,2.0
2016,5,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,2.0
2016,6,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,3.0
2016,7,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,4.0
2016,8,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,4.0
2016,9,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,4.0
2016,10,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,4.0
2016,11,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,4.0
2016,12,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,4.0
2017,1,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,4.0
2017,2,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,4.0
2017,3,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,4.0
2017,4,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.7,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,4.0
2017,5,1.5,1.2,1.5,1.0,11.2,0.8,8.1,2.1,1.4,4.0,1.3,0.1,13.0,2.2,1.6,4.8,2.5,7.0,19.3,0.0,0.7,0.3,6.0,106.5,15.9,65.9,18.6,41.8,24.7,34.0,45.3,16.0,29.3,5.6,2.8,5.6,1.2,1.6,1.2,41.5,30.4,0.516,12.8,10.0,12.9,7.2,11.0,8.286501486928991e-05,4.0
