framework,path,framework_contributors,sample_contributors,commom_contributors,commom/framework,commom/sample
android,googlesamples/android-AutofillFramework,3798,2,0,0.0,0.0
android,googlesamples/android-play-location,3798,13,0,0.0,0.0
android,googlesamples/google-services,3798,38,2,0.000526592943654555,0.05263157894736842
android,googlesamples/easypermissions,3798,22,0,0.0,0.0
android,googlesamples/android-testing,3798,29,0,0.0,0.0
android,googlesamples/android-Camera2Basic,3798,4,1,0.0002632964718272775,0.25
android,googlesamples/android-credentials,3798,7,0,0.0,0.0
android,googlesamples/android-EmojiCompat,3798,2,0,0.0,0.0
android,googlesamples/android-instant-apps,3798,8,2,0.000526592943654555,0.25
android,googlesamples/android-nearby,3798,13,1,0.0002632964718272775,0.07692307692307693
android,googlesamples/android-AppUsageStatistics,3798,1,0,0.0,0.0
android,googlesamples/android-custom-lint-rules,3798,10,1,0.0002632964718272775,0.1
android,googlesamples/android-play-billing,3798,23,1,0.0002632964718272775,0.043478260869565216
android,googlesamples/android-vision,3798,16,0,0.0,0.0
android,googlesamples/android-ads,3798,9,1,0.0002632964718272775,0.1111111111111111
android,googlesamples/android-SpeedTracker,3798,4,0,0.0,0.0
android,googlesamples/android-BluetoothLeGatt,3798,3,0,0.0,0.0
android,googlesamples/android-Camera2Raw,3798,2,0,0.0,0.0
android,googlesamples/android-WifiRttScan,3798,2,0,0.0,0.0
android,googlesamples/android-ActionBarCompat-ShareActionProvider,3798,2,0,0.0,0.0
android,googlesamples/android-testdpc,3798,17,6,0.001579778830963665,0.35294117647058826
android,googlesamples/android-PictureInPicture,3798,2,0,0.0,0.0
android,googlesamples/android-ActivitySceneTransitionBasic,3798,2,0,0.0,0.0
android,googlesamples/android-Camera2Video,3798,4,1,0.0002632964718272775,0.25
android,googlesamples/android-Notifications,3798,2,0,0.0,0.0
android,googlesamples/android-BasicAccessibility,3798,3,0,0.0,0.0
android,googlesamples/android-XYZTouristAttractions,3798,2,0,0.0,0.0
android,googlesamples/android-WearVerifyRemoteApp,3798,2,0,0.0,0.0
android,googlesamples/android-WearSpeakerSample,3798,2,0,0.0,0.0
android,googlesamples/android-WearHighBandwidthNetworking,3798,2,0,0.0,0.0
android,googlesamples/android-WearDrawers,3798,2,0,0.0,0.0
android,googlesamples/android-WearComplicationProvidersTestSuite,3798,2,0,0.0,0.0
android,googlesamples/android-WearAccessibilityApp,3798,2,0,0.0,0.0
android,googlesamples/android-WatchFace,3798,2,0,0.0,0.0
android,googlesamples/android-RuntimePermissionsWear,3798,3,1,0.0002632964718272775,0.3333333333333333
android,googlesamples/android-JumpingJack,3798,2,0,0.0,0.0
android,googlesamples/android-DataLayer,3798,2,0,0.0,0.0
android,googlesamples/android-AlwaysOn,3798,2,0,0.0,0.0
android,googlesamples/android-MediaEffects,3798,2,0,0.0,0.0
android,googlesamples/android-DirectBoot,3798,3,0,0.0,0.0
android,googlesamples/leanback-showcase,3798,11,2,0.000526592943654555,0.18181818181818182
android,googlesamples/android-MessagingService,3798,4,0,0.0,0.0
android,googlesamples/androidtv-sample-inputs,3798,8,1,0.0002632964718272775,0.125
android,googlesamples/leanback-homescreen-channels,3798,3,0,0.0,0.0
android,googlesamples/android-play-publisher-api,3798,6,0,0.0,0.0
android,googlesamples/androidtv-Leanback,3798,22,2,0.000526592943654555,0.09090909090909091
android,googlesamples/android-BluetoothChat,3798,2,0,0.0,0.0
android,googlesamples/android-MediaRecorder,3798,7,0,0.0,0.0
android,googlesamples/android-fit,3798,6,0,0.0,0.0
android,googlesamples/android-DisplayingBitmaps,3798,2,0,0.0,0.0
android,googlesamples/android-testing-templates,3798,5,0,0.0,0.0
android,googlesamples/android-ActivityInstrumentation,3798,2,0,0.0,0.0
android,googlesamples/chromeos-android-draganddrop-demo,3798,1,0,0.0,0.0
android,googlesamples/android-BasicRenderScript,3798,2,0,0.0,0.0
android,googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer,3798,1,0,0.0,0.0
android,googlesamples/android-CustomChoiceList,3798,2,0,0.0,0.0
android,googlesamples/android-WatchViewStub,3798,2,0,0.0,0.0
android,googlesamples/android-Timer,3798,2,0,0.0,0.0
android,googlesamples/android-TextSwitcher,3798,2,0,0.0,0.0
android,googlesamples/android-TextLinkify,3798,2,0,0.0,0.0
android,googlesamples/android-SynchronizedNotifications,3798,2,0,0.0,0.0
android,googlesamples/android-SwipeRefreshMultipleViews,3798,2,0,0.0,0.0
android,googlesamples/android-SwipeRefreshListFragment,3798,2,0,0.0,0.0
android,googlesamples/android-SwipeRefreshLayoutBasic,3798,2,0,0.0,0.0
android,googlesamples/android-StorageProvider,3798,2,0,0.0,0.0
android,googlesamples/android-StorageClient,3798,2,0,0.0,0.0
android,googlesamples/android-SlidingTabsColors,3798,2,0,0.0,0.0
